No   Frame      Pixel_X   Pixel_Y   Tahmini(m)       Gercek(m)      Mutlak_Hata(m) Bagil_Hata(%)
1    16         432       360       9.312            9.361          0.049         0.5234      
2    61         394       281       35.760           37.461         1.701         4.5411      
3    67         257       265       42.334           44.533         2.200         4.9394      
4    72         144       239       45.006           47.668         2.662         5.5835      
5    75         57        272       41.849           39.441         2.409         6.1078      
6    79         248       395       29.505           30.279         0.774         2.5565      
7    82         447       491       26.892           27.756         0.864         3.1122      
8    85         527       442       31.220           30.692         0.528         1.7199      
9    88         363       460       43.619           43.549         0.070         0.1617      
10   92         53        309       35.422           35.968         0.546         1.5192      
11   98         250       408       30.884           30.681         0.203         0.6605      
12   102        438       210       44.524           44.790         0.266         0.5931      
13   106        307       188       57.204           59.638         2.434         4.0818      
14   110        121       161       53.946           51.250         2.696         5.2607      
15   115        50        145       60.030           55.600         4.430         7.9677      
16   117        33        214       57.282           53.085         4.196         7.9048      
17   121        250       286       42.311           45.538         3.227         7.0859      
18   136        204       337       33.004           32.605         0.399         1.2242      
19   139        338       412       28.946           30.368         1.422         4.6828      
20   144        403       563       26.258           25.584         0.674         2.6348      
21   148        496       465       31.057           31.118         0.060         0.1935      
22   152        463       317       43.692           42.543         1.148         2.6990      
23   156        382       231       43.149           43.701         0.552         1.2623      
24   159        482       161       52.082           53.132         1.050         1.9758      
25   162        190       336       33.090           32.523         0.568         1.7454      
26   165        48        245       56.331           52.333         3.998         7.6396      
27   168        106       338       34.469           35.001         0.533         1.5218      
28   172        136       401       34.371           34.607         0.236         0.6819      
29   175        25        448       30.698           31.336         0.638         2.0372      
30   178        24        523       28.740           28.902         0.162         0.5605      
31   181        61        569       38.289           39.592         1.304         3.2927      
32   186        166       424       42.830           43.468         0.638         1.4685      
33   190        156       364       37.225           37.495         0.270         0.7198      
34   197        354       464       25.002           25.463         0.461         1.8115      
35   224        222       353       22.762           22.398         0.364         1.6251      
36   227        349       433       25.103           26.300         1.197         4.5514      
37   230        210       456       27.610           26.893         0.717         2.6651      
38   233        353       298       21.117           21.380         0.263         1.2306      
39   236        151       309       24.214           24.750         0.536         2.1647      
40   250        484       170       25.960           25.012         0.948         3.7915      
41   253        378       168       25.093           24.876         0.217         0.8736      
42   256        206       192       34.262           34.140         0.122         0.3583      
43   259        106       187       24.308           23.534         0.774         3.2885      
44   261        40        251       21.526           21.211         0.315         1.4848      
45   264        104       359       15.710           15.930         0.220         1.3797      
46   268        187       385       12.699           12.549         0.150         1.1962      
47   271        428       387       13.019           13.011         0.008         0.0634      
48   274        379       522       16.428           16.377         0.050         0.3079      
49   277        169       519       16.193           16.134         0.059         0.3641      
50   280        78        469       19.892           19.723         0.169         0.8574      

Ozet Istatistikler (n=50):
  Ortalama mutlak hata: 0.990 m
  Ortalama bagil hata:  2.533 %
  Min mutlak hata:      0.008 m
  Max mutlak hata:      4.430 m
